date,remittances_mn_usd
2005-01-01,34.308113825851876
2005-04-01,73.61980510941935
2005-07-01,95.59138750703225
2005-10-01,147.84484622178226
2006-01-01,95.2074228660309
2006-04-01,224.56762115850492
2006-07-01,230.24785706788356
2006-10-01,210.67894792378596
2007-01-01,161.20993357770556
2007-04-01,278.1484494793177
2007-07-01,309.7420643491233
2007-10-01,248.07889606897285
2008-01-01,344.8267633956882
2008-04-01,418.5936381252104
2008-07-01,944.3941047625729
2008-10-01,1252.4936967351327
2009-01-01,235.66354499069902
2009-04-01,192.47147670633169
2009-07-01,592.2292409609606
2009-10-01,352.151419680712
2010-01-01,337.6067327320395
2010-04-01,491.80780917852843
2010-07-01,816.9149978163684
2010-10-01,749.1784394061879
2011-01-01,492.91743797935385
2011-04-01,800.9543234408593
2011-07-01,1180.9146677186666
2011-10-01,1038.7346312907885
2012-01-01,701.746356700227
2012-04-01,1044.613999584638
2012-07-01,1674.2858499155589
2012-10-01,1385.0032696111612
2013-01-01,729.1878164160173
2013-04-01,1112.0343499689334
2013-07-01,1561.7716189537073
2013-10-01,1330.4829725651607
2014-01-01,956.6659343054664
2014-04-01,1351.5331620048373
2014-07-01,2050.098010082756
2014-10-01,880.0446446395788
2015-01-01,422.1501214516524
2015-04-01,807.0113185756261
2015-07-01,927.8367935660285
2015-10-01,717.043182570805
2016-01-01,492.5380476619299
2016-04-01,897.8904537155324
2016-07-01,1257.2539812834614
2016-10-01,1079.529755768739
2017-01-01,815.3991343627786
2017-04-01,1098.2119460489994
2017-07-01,1555.5241532013326
2017-10-01,1346.9220250037404
2018-01-01,937.1277203937112
2018-04-01,1167.5842360159597
2018-07-01,1404.5121005028197
2018-10-01,1313.6859737035145
2019-01-01,1007.426602713849
2019-04-01,1448.1417466709797
2019-07-01,1857.648591496487
2019-10-01,1727.0696495985521
2020-01-01,988.1221281258814
2020-04-01,1121.6398015919824
2020-07-01,1631.4189049624117
2020-10-01,1654.7712895954435
2021-01-01,1236.9830910184191
2021-04-01,1436.957620556997
2021-07-01,2153.8707128433953
2021-10-01,2064.5064993731526
2022-01-01,720.85345258184
2022-04-01,3541.5012300428402
2022-07-01,4332.677629307952
2022-10-01,3089.5786354761735
2023-01-01,1917.6538843049868
2023-04-01,2276.901697526798
2023-07-01,2762.6544864420903
2023-10-01,2728.1563953292566
2024-01-01,1690.1234176536232
2024-04-01,3135.0103438760016
2024-07-01,3913.5765656494054
2024-10-01,2856.3563820597747
2025-01-01,2345.9576198834816
2025-04-01,3692.0840473591966
2025-07-01,4858.171124843182
2025-10-01,4344.797904854733
2026-01-01,2906.921998593205
